89,28
560,68
3045,326
2874,350
6584,703
7458,739
10217,951
11357,1038
12271,1134
13380,1244
14716,1352
16744,1432
17456,1487
18154,1511
18217,1617
19673,1671
21586,1822
22421,1886
23194,2010
24051,2083
27301,2294
28140,2359
28654,2397
32595,2578
33327,2666
34244,2696
35390,2853
36951,2943
42124,3258
43212,3358
45586,3504
46022,3585
46583,3690
57452,4227
55791,4284
59783,4351
62976,4575
62161,4581
60330,4609
60610,4615
65204,4799
65722,4912
67789,4935
66477,4969
67044,4980
70834,5069
73028,5218
74751,5287
75965,5408
75362,5430
76916,5463
78984,5621
96108,6631
98319,6734
99668,6788
99456,6912
101868,6981
106255,7159
105799,7193
106189,7261
108202,7356
112181,7589
112929,7680
113130,7688
113498,7710
114022,7770
114970,7801
119119,7917
118630,7978
118213,8007
119979,8063
122990,8269
124554,8291
127091,8449
126380,8512
134094,8753
132433,8886
135534,9060
137642,9176
139327,9216
139215,9225
138623,9265
144010,9333
144365,9533
145417,9557
146316,9675
148857,9749
149595,9817
155347,10152
155269,10166
155432,10207
154447,10214
155552,10219
158959,10277
158787,10362
160758,10533
166522,10825
167158,10879
168808,10969
170572,11090
173842,11226
176995,11318
177171,11449
182489,11631
182236,11788
186850,11973
191131,12223
193673,12285
201153,12848
202487,13013
207670,13312
208970,13333
214852,13514
217204,13853
219250,13964
223120,13980
221275,14075
221618,14180
228518,14277
227341,14426
225654,14457
231255,14597
232123,14671
236826,14825
235525,14886
237507,14982
242765,15052
241106,15122
244519,15182
242420,15245
241183,15338
248416,15590
248303,15756
250639,15765
251153,15791
255254,15899
255837,15903
253990,15940
259573,16092
259046,16103
254660,16123
258980,16202
259192,16231
262502,16357
265213,16390
262215,16413
264951,16557
268575,16727
275250,16981
273790,17040
278929,17255
283128,17343
285592,17530
286479,17621
284092,17679
289829,17767
288862,17840
293816,17973
293452,18098
297801,18218
296521,18334
301006,18542
301913,18561
309305,18837
306675,18955
311183,19084
321552,19664
320598,19736
329304,20081
332216,20083
327589,20128
336054,20658
338318,20789
341911,20895
347422,20987
349659,21106
353330,21209
352407,21300
352738,21459
357643,21588
355561,21692
356246,21736
358275,21781
361317,21814
354732,21816
360802,21932
363661,21949
357376,21952
364666,22191
371724,22373
368736,22376
372495,22502
376959,22554
375191,22749
379682,22803
380706,22869
385024,22966
384424,23007
383968,23022
386054,23027
386698,23201
388979,23301
388945,23406
391333,23570
390873,23580
396334,23606
398231,23632
394330,23681
399939,23896
396563,23939
397885,23948
398805,24000
400192,24137
405352,24304
409527,24392
409562,24408
408901,24545
417421,24678
416381,24937
421295,25050
422760,25132
426167,25280
427980,25303
429005,25310
434705,25465
430162,25480
430579,25533
431031,25697
430734,25747
438784,25919
443023,26167
444488,26177
441029,26206
447390,26325
445466,26431
463224,27300
459926,27357
465639,27497
473671,27561
467701,27627
469428,27668
466725,27718
469509,27833
479419,27942
483020,28443
488396,28653
494875,28777
491016,28829
490841,28850
490011,28950
499947,29118
501563,29416
499757,29428
516019,29807
513404,29814
525178,30292
520081,30321
525821,30323
518484,30336
522411,30355
525811,30422
526083,30584
526940,30705
533998,30911
539701,31032
533788,31084
541609,31169
541008,31458
547684,31462
541761,31524
547461,31859
554112,32152
555866,32205
557155,32362
556868,32365
558668,32416
568028,32547
561075,32603
566325,32658
565346,32703
563638,32706
575944,32924
578313,33084
573683,33226
579069,33412
584755,33436
577992,33438
580256,33591
593148,33922
592200,34100
593491,34130
600497,34169
601752,34366
602888,34423
604941,34443
599753,34515
599581,34550
598479,34560
603699,34646
